Category: All categories

Week,python programming language: (United States)
2014-08-31,49
2014-09-07,63
2014-09-14,52
2014-09-21,60
2014-09-28,77
2014-10-05,69
2014-10-12,52
2014-10-19,74
2014-10-26,61
2014-11-02,45
2014-11-09,64
2014-11-16,45
2014-11-23,36
2014-11-30,47
2014-12-07,49
2014-12-14,46
2014-12-21,41
2014-12-28,42
2015-01-04,41
2015-01-11,45
2015-01-18,42
2015-01-25,42
2015-02-01,47
2015-02-08,61
2015-02-15,48
2015-02-22,56
2015-03-01,54
2015-03-08,58
2015-03-15,37
2015-03-22,44
2015-03-29,45
2015-04-05,65
2015-04-12,56
2015-04-19,62
2015-04-26,57
2015-05-03,43
2015-05-10,63
2015-05-17,56
2015-05-24,56
2015-05-31,69
2015-06-07,58
2015-06-14,57
2015-06-21,66
2015-06-28,49
2015-07-05,53
2015-07-12,63
2015-07-19,56
2015-07-26,47
2015-08-02,69
2015-08-09,51
2015-08-16,90
2015-08-23,100
2015-08-30,60
2015-09-06,64
2015-09-13,74
2015-09-20,75
2015-09-27,65
2015-10-04,77
2015-10-11,50
2015-10-18,62
2015-10-25,71
2015-11-01,80
2015-11-08,29
2015-11-15,70
2015-11-22,55
2015-11-29,55
2015-12-06,71
2015-12-13,53
2015-12-20,71
2015-12-27,49
2016-01-03,48
2016-01-10,66
2016-01-17,59
2016-01-24,53
2016-01-31,67
2016-02-07,41
2016-02-14,40
2016-02-21,43
2016-02-28,50
2016-03-06,43
2016-03-13,54
2016-03-20,47
2016-03-27,41
2016-04-03,46
2016-04-10,57
2016-04-17,54
2016-04-24,52
2016-05-01,40
2016-05-08,49
2016-05-15,65
2016-05-22,41
2016-05-29,51
2016-06-05,44
2016-06-12,54
2016-06-19,41
2016-06-26,48
2016-07-03,33
2016-07-10,32
2016-07-17,45
2016-07-24,51
2016-07-31,32
2016-08-07,40
2016-08-14,26
2016-08-21,66
2016-08-28,51
2016-09-04,56
2016-09-11,73
2016-09-18,44
2016-09-25,42
2016-10-02,40
2016-10-09,50
2016-10-16,44
2016-10-23,37
2016-10-30,43
2016-11-06,44
2016-11-13,63
2016-11-20,40
2016-11-27,34
2016-12-04,48
2016-12-11,64
2016-12-18,43
2016-12-25,31
2017-01-01,67
2017-01-08,68
2017-01-15,62
2017-01-22,59
2017-01-29,60
2017-02-05,50
2017-02-12,51
2017-02-19,68
2017-02-26,77
2017-03-05,59
2017-03-12,52
2017-03-19,57
2017-03-26,63
2017-04-02,43
2017-04-09,59
2017-04-16,58
2017-04-23,72
2017-04-30,63
2017-05-07,46
2017-05-14,42
2017-05-21,50
2017-05-28,55
2017-06-04,50
2017-06-11,53
2017-06-18,45
2017-06-25,46
2017-07-02,40
2017-07-09,73
2017-07-16,53
2017-07-23,41
2017-07-30,52
2017-08-06,64
2017-08-13,59
2017-08-20,57
2017-08-27,62
2017-09-03,61
2017-09-10,59
2017-09-17,67
2017-09-24,78
2017-10-01,56
2017-10-08,65
2017-10-15,84
2017-10-22,75
2017-10-29,49
2017-11-05,66
2017-11-12,65
2017-11-19,43
2017-11-26,54
2017-12-03,79
2017-12-10,62
2017-12-17,62
2017-12-24,49
2017-12-31,62
2018-01-07,62
2018-01-14,62
2018-01-21,61
2018-01-28,72
2018-02-04,77
2018-02-11,53
2018-02-18,53
2018-02-25,51
2018-03-04,59
2018-03-11,59
2018-03-18,41
2018-03-25,62
2018-04-01,58
2018-04-08,60
2018-04-15,50
2018-04-22,64
2018-04-29,57
2018-05-06,63
2018-05-13,57
2018-05-20,49
2018-05-27,48
2018-06-03,43
2018-06-10,56
2018-06-17,47
2018-06-24,52
2018-07-01,50
2018-07-08,57
2018-07-15,47
2018-07-22,57
2018-07-29,49
2018-08-05,49
2018-08-12,64
2018-08-19,69
2018-08-26,66
2018-09-02,58
2018-09-09,65
2018-09-16,64
2018-09-23,59
2018-09-30,61
2018-10-07,68
2018-10-14,55
2018-10-21,46
2018-10-28,62
2018-11-04,62
2018-11-11,78
2018-11-18,52
2018-11-25,49
2018-12-02,53
2018-12-09,64
2018-12-16,55
2018-12-23,48
2018-12-30,41
2019-01-06,52
2019-01-13,51
2019-01-20,63
2019-01-27,48
2019-02-03,62
2019-02-10,67
2019-02-17,59
2019-02-24,70
2019-03-03,55
2019-03-10,67
2019-03-17,54
2019-03-24,60
2019-03-31,71
2019-04-07,76
2019-04-14,73
2019-04-21,58
2019-04-28,54
2019-05-05,55
2019-05-12,59
2019-05-19,62
2019-05-26,49
2019-06-02,49
2019-06-09,45
2019-06-16,55
2019-06-23,52
2019-06-30,57
2019-07-07,59
2019-07-14,54
2019-07-21,49
2019-07-28,56
2019-08-04,56
2019-08-11,43
2019-08-18,58
